ticker symbol,correlation coefficient,time shift
BITS,0.7637446376,0
VTYX,0.7627931357,8
HCP,-0.7586588932,3
OLPX,-0.7582348382,9
BNOX,0.7571100957,6
IMMX,-0.7526733174,6
GNTA,0.7513251022,9
NRSN,-0.7458934638,8
BRZE,-0.7375718536,9
GNTA,-0.7309550081,8
ALLR,0.730900159,5
IMMX,0.730248487,7
IREN,-0.7276448138,9
CFSB,0.7264494317,0
ALLR,0.7242373422,0
SARK,0.7207271831,8
AHI,-0.7174455394,4
HOUR,-0.7125753364,3
PEPL,0.7125162171,4
BITS,0.711718271,3
VLCN,-0.7092505245,1
PTLO,-0.7072490876,7
HILS,0.7071491002,1
FIVR,-0.7048574684,1
DRUG,-0.7036988703,4
SIDU,-0.7012497998,1
VBOCU,-0.6979272757,4
IOBT,0.6899452663,0
VLNS,-0.6864976672,6
LITM,0.6844530318,0
MYNA,0.684030591,1
LUCD,-0.6838471671,5
HCP,0.6827015731,5
OP,0.6823267049,7
ATLCL,-0.6804450854,1
TSVT,0.680177721,0
FWRG,0.6705583759,9
NZRO,-0.6699386773,2
NXGL,-0.6687457509,9
CING,0.6656115912,7
FINW,0.6631426315,1
MEKA,0.6616958528,9
ATLCL,0.6583043297,6
VCSA,-0.6541605746,6
GTLB,0.6531916427,5
SARK,-0.6482643524,7
FOSLL,-0.6472845876,0
UDMY,-0.6459507184,2
ATLCL,0.6452882377,3
AIP,-0.6440220872,3
BTBD,-0.64038405,5
LVLU,0.6400476619,4
UDMY,0.6399744953,3
NVTSW,0.6399106757,1
FWRG,0.6390536139,2
IREN,-0.6369680113,5
RENT,-0.6324937966,6
HCP,0.6260595458,8
EXFY,-0.6240838885,2
NRSN,0.6236748793,1
GFGF,-0.6201040932,8
LITM,0.6187828105,5
ARHS,0.6183788014,0
CYN,-0.6183107716,0
WGRO,0.617896144,2
SOPA,0.6177486665,8
BRZE,-0.6168317623,4
IMPP,0.6139606696,6
RELY,0.6117529791,6
CVRX,-0.6109774909,1
XLO,0.6105537593,8
EXFY,-0.6104449895,7
BIRD,-0.6075059898,5
VCSA,0.6049463912,4
HCP,-0.6044222691,6
DWACU,0.6015916441,4
FIVR,0.6010290956,9
WAVE,-0.5980426368,2
AURA,-0.5943366613,1
RENT,0.5922472849,2
VLNS,-0.5840080468,1
FINW,0.5837645051,4
GNTA,0.5828958455,7
FOSLL,0.5823863133,6
ALLR,0.5794966985,6
QQMG,0.5794828511,6
RENT,-0.5789565096,3
EXFY,-0.574798468,1
STRN,0.5746890818,8
HCTI,-0.5738876227,9
VLCN,-0.5732038906,9
HCTI,0.572787905,0
AIP,0.5726674163,2
NVTSW,-0.5695929588,0
BHFAM,0.569138745,4
BLZE,0.5677468584,8
DGHI,0.5643548134,2
VAXX,-0.5639331103,6
IMMX,-0.562150413,4
BKCH,-0.5591160123,1
AURA,0.558898188,4
MYNA,-0.5585540273,9
CING,0.5571164563,4
CYN,-0.5554681382,2
NEXI,-0.5545293108,8
XRTX,0.5542989012,7
LITM,-0.5533045765,1
CING,-0.5528890209,1
AHI,0.5519671996,8
BRZE,0.5515871817,5
CNTX,0.5514139552,3
IOBT,0.550224588,5
IREN,-0.548675855,7
PYXS,0.5482574741,5
EXFY,0.5451342522,6
SSSSL,0.5442523628,7
SRZN,0.5432694568,1
ELYM,-0.5425278445,8
GTLB,0.5396635472,4
PTLO,-0.539144791,5
ACT,-0.5389942187,9
EXFY,0.5384986513,3
GNTA,0.5383289895,0
APP,-0.5378948426,1
BTBD,-0.5377666027,9
AIRS,0.5340833198,2
BASE,0.5331185169,9
OB,-0.5328714846,1
BTBD,0.530531355,6
DRUG,0.5300149692,8
TRDA,-0.5293667966,8
STER,-0.5265356164,5
AURA,-0.5233631384,9
ARHS,0.5230929638,2
IMPP,0.5208979551,4
ELYM,0.5199259679,9
SLHGP,0.5191454199,5
FWRG,-0.51831178,8
BITS,0.5165724912,2
DERM,-0.5144699881,2
SEV,0.5141450831,4
IAS,0.5132911569,7
AIP,0.5123519253,1
VLCN,0.5105929278,0
PYXS,-0.510405651,8
RLYB,-0.5081005546,7
TKLF,0.5079264785,3
MQ,0.5075193327,4
MDXH,-0.5019814381,2
GTLB,0.5002904191,2
MYNZ,-0.5002558115,6
